Dia,ID,Fila,Columna,Susceptibles,Expuestos,Infectados,Recuperados,Fallecidos,Vacunados
4,3,4,2,22,1,11,0,0,1
4,4,4,3,14,0,6,0,0,0
4,4,4,4,12,0,3,0,0,0
4,0,4,5,0,0,0,0,0,0
4,3,5,0,19,0,6,0,0,0
4,3,5,1,19,1,7,0,0,3
4,3,5,2,9,0,1,0,0,0
4,2,5,3,300848,19327,60273,11461,2124,38411
4,0,5,4,0,0,0,0,0,0
4,0,5,5,0,0,0,0,0,0
5,1,0,0,203355,18001,42090,10897,2045,33737
5,1,0,1,9,0,1,0,0,0
5,1,0,2,19,0,10,0,0,1
5,0,0,3,0,0,0,0,0,0
5,2,0,4,13,0,7,0,0,0
5,2,0,5,14,0,6,0,0,0
5,1,1,0,24,2,11,0,0,3
5,1,1,1,9,0,1,0,0,0
5,1,1,2,21,1,12,0,0,1
5,0,1,3,0,0,0,0,0,0
5,2,1,4,10,0,5,0,0,0
5,2,1,5,13,2,9,0,0,1
5,3,2,0,22,2,9,0,0,2
5,1,2,1,16,0,4,0,0,0
5,0,2,2,0,0,0,0,0,0
5,4,2,3,17,1,11,0,0,1
5,4,2,4,9,0,1,0,0,0
5,4,2,5,16,0,4,0,0,0
5,3,3,0,16,0,8,0,0,1
5,3,3,1,10,0,5,0,0,0
5,4,3,2,26,1,11,0,0,2
5,4,3,3,380999,13586,74404,8503,1630,33231
5,4,3,4,21,0,8,0,0,1
5,4,3,5,13,0,7,0,0,0
5,3,4,0,11,0,4,0,0,0
5,3,4,1,935,121,142,70,11,221
5,3,4,2,21,1,12,0,0,1
5,4,4,3,12,1,7,0,0,0
5,4,4,4,10,0,5,0,0,0
5,0,4,5,0,0,0,0,0,0
5,3,5,0,19,0,6,0,0,0
5,3,5,1,18,1,8,0,0,3
5,3,5,2,9,0,1,0,0,0
5,2,5,3,286526,24567,57649,14680,2734,46288
5,0,5,4,0,0,0,0,0,0
5,0,5,5,0,0,0,0,0,0
6,1,0,0,193823,23919,32167,14288,2659,43269
6,1,0,1,9,0,1,0,0,0
6,1,0,2,16,1,11,1,0,1
6,0,0,3,0,0,0,0,0,0
6,2,0,4,11,1,8,0,0,0
6,2,0,5,13,0,7,0,0,0
6,1,1,0,24,2,11,0,0,3
6,1,1,1,8,0,2,0,0,0
6,1,1,2,19,2,13,0,0,1
6,0,1,3,0,0,0,0,0,0
6,2,1,4,10,0,5,0,0,0
6,2,1,5,11,3,10,0,0,1
6,3,2,0,21,2,10,0,0,2
6,1,2,1,15,0,5,0,0,0
6,0,2,2,0,0,0,0,0,0
6,4,2,3,17,1,11,0,0,1
6,4,2,4,8,0,2,0,0,0
6,4,2,5,14,0,6,0,0,0
6,3,3,0,16,0,8,0,0,1
6,3,3,1,9,0,6,0,0,0
6,4,3,2,24,2,12,0,0,2
6,4,3,3,349878,22843,77015,14059,2667,45891
6,4,3,4,18,1,10,0,0,1
6,4,3,5,12,0,8,0,0,0
6,3,4,0,11,0,4,0,0,0
6,3,4,1,897,138,114,80,12,259
6,3,4,2,18,2,13,1,0,1
6,4,4,3,11,1,8,0,0,0
6,4,4,4,10,0,5,0,0,0
6,0,4,5,0,0,0,0,0,0
6,3,5,0,17,0,8,0,0,0
6,3,5,1,18,1,8,0,0,3
6,3,5,2,8,0,2,0,0,0
6,2,5,3,277926,29227,50601,17540,3275,53875
6,0,5,4,0,0,0,0,0,0
6,0,5,5,0,0,0,0,0,0
7,1,0,0,184269,28675,24222,16990,3146,52823
7,1,0,1,8,0,2,0,0,0
7,1,0,2,16,1,11,1,0,1
7,0,0,3,0,0,0,0,0,0
7,2,0,4,11,1,8,0,0,0
7,2,0,5,12,0,8,0,0,0
7,1,1,0,23,3,11,0,0,3
7,1,1,1,7,0,3,0,0,0
7,1,1,2,16,4,13,1,0,1
7,0,1,3,0,0,0,0,0,0
7,2,1,4,9,0,6,0,0,0
7,2,1,5,10,4,10,0,0,1
7,3,2,0,20,3,10,0,0,2
7,1,2,1,15,0,5,0,0,0
7,0,2,2,0,0,0,0,0,0
7,4,2,3,17,1,11,0,0,1
7,4,2,4,7,0,3,0,0,0
7,4,2,5,13,0,7,0,0,0
7,3,3,0,14,1,9,0,0,1
7,3,3,1,8,0,7,0,0,0
7,4,3,2,22,2,14,0,0,2
7,4,3,3,333034,29993,71590,18419,3489,55828
7,4,3,4,17,1,11,0,0,1
7,4,3,5,11,1,8,0,0,0
7,3,4,0,11,0,4,0,0,0
7,3,4,1,896,138,114,80,12,260
7,3,4,2,18,2,13,1,0,1
7,4,4,3,10,2,8,0,0,0
7,4,4,4,9,0,6,0,0,0
7,0,4,5,0,0,0,0,0,0
7,3,5,0,16,0,9,0,0,0
7,3,5,1,18,1,8,0,0,3
7,3,5,2,8,0,2,0,0,0
7,2,5,3,267885,34711,41253,20800,3879,63916
7,0,5,4,0,0,0,0,0,0
7,0,5,5,0,0,0,0,0,0
8,1,0,0,183090,29140,23393,17294,3206,54002
8,1,0,1,7,0,3,0,0,0
8,1,0,2,16,1,11,1,0,1
8,0,0,3,0,0,0,0,0,0
8,2,0,4,10,2,8,0,0,0
8,2,0,5,12,0,8,0,0,0
8,1,1,0,23,3,11,0,0,3
8,1,1,1,7,0,3,0,0,0
8,1,1,2,16,4,13,1,0,1
8,0,1,3,0,0,0,0,0,0
8,2,1,4,8,0,7,0,0,0
8,2,1,5,9,5,10,0,0,1
8,3,2,0,19,3,11,0,0,2
8,1,2,1,14,0,6,0,0,0
8,0,2,2,0,0,0,0,0,0
8,4,2,3,17,1,11,0,0,1
8,4,2,4,7,0,3,0,0,0
8,4,2,5,11,1,8,0,0,0
8,3,3,0,12,2,10,0,0,1
8,3,3,1,8,0,7,0,0,0
8,4,3,2,20,4,12,1,0,3
8,4,3,3,317066,40290,54354,24296,4551,71796
8,4,3,4,15,2,11,1,0,1
8,4,3,5,10,1,9,0,0,0
8,3,4,0,10,0,5,0,0,0
8,3,4,1,880,144,104,84,12,276
8,3,4,2,18,2,13,1,0,1
8,4,4,3,10,2,8,0,0,0
8,4,4,4,9,0,6,0,0,0
8,0,4,5,0,0,0,0,0,0
8,3,5,0,15,0,10,0,0,0
8,3,5,1,18,1,8,0,0,3
8,3,5,2,8,0,2,0,0,0
8,2,5,3,255940,40229,31968,23987,4459,75861
8,0,5,4,0,0,0,0,0,0
8,0,5,5,0,0,0,0,0,0
9,1,0,0,174694,32358,17989,19144,3542,62398
9,1,0,1,7,0,3,0,0,0
9,1,0,2,15,1,12,1,0,1
9,0,0,3,0,0,0,0,0,0
9,2,0,4,10,2,8,0,0,0
9,2,0,5,12,0,8,0,0,0
9,1,1,0,21,4,12,0,0,3
9,1,1,1,6,0,4,0,0,0
9,1,1,2,14,5,13,2,0,1
9,0,1,3,0,0,0,0,0,0
9,2,1,4,7,0,8,0,0,0
9,2,1,5,8,6,10,0,0,1
9,3,2,0,18,3,12,0,0,2
9,1,2,1,13,0,7,0,0,0
9,0,2,2,0,0,0,0,0,0
9,4,2,3,16,1,12,0,0,1
9,4,2,4,7,0,3,0,0,0
9,4,2,5,11,1,8,0,0,0
9,3,3,0,11,3,10,0,0,1
9,3,3,1,8,0,7,0,0,0
9,4,3,2,19,4,13,1,0,3
9,4,3,3,301442,48325,40931,28861,5374,87420
9,4,3,4,15,2,11,1,0,1
9,4,3,5,10,1,9,0,0,0
9,3,4,0,10,0,5,0,0,0
9,3,4,1,844,156,84,91,13,312
9,3,4,2,16,3,13,2,0,1
9,4,4,3,10,2,8,0,0,0
9,4,4,4,8,0,7,0,0,0
9,0,4,5,0,0,0,0,0,0
9,3,5,0,15,0,10,0,0,0
9,3,5,1,18,1,8,0,0,3
9,3,5,2,8,0,2,0,0,0
9,2,5,3,249199,42755,27598,25538,4752,82602
9,0,5,4,0,0,0,0,0,0
9,0,5,5,0,0,0,0,0,0
10,1,0,0,168131,34385,14542,20343,3763,68961
10,1,0,1,7,0,3,0,0,0
10,1,0,2,14,2,12,1,0,1
10,0,0,3,0,0,0,0,0,0
10,2,0,4,9,3,8,0,0,0
10,2,0,5,12,0,8,0,0,0
10,1,1,0,21,4,12,0,0,3
10,1,1,1,6,0,4,0,0,0
10,1,1,2,14,5,13,2,0,1
10,0,1,3,0,0,0,0,0,0
10,2,1,4,7,0,8,0,0,0
10,2,1,5,8,7,9,0,0,1
10,3,2,0,17,4,12,0,0,2
10,1,2,1,13,0,7,0,0,0
10,0,2,2,0,0,0,0,0,0
10,4,2,3,14,3,11,1,0,1
10,4,2,4,7,0,3,0,0,0
10,4,2,5,11,1,8,0,0,0
10,3,3,0,11,3,10,0,0,1
10,3,3,1,8,0,7,0,0,0
10,4,3,2,19,5,11,2,0,3
10,4,3,3,298301,49604,38665,29687,5535,90561
10,4,3,4,13,3,11,2,0,1
10,4,3,5,9,1,10,0,0,0
10,3,4,0,10,0,5,0,0,0
10,3,4,1,843,156,84,91,13,313
10,3,4,2,16,3,13,2,0,1
10,4,4,3,9,3,8,0,0,0
10,4,4,4,8,0,7,0,0,0
10,0,4,5,0,0,0,0,0,0
10,3,5,0,14,0,11,0,0,0
10,3,5,1,18,1,8,0,0,3
10,3,5,2,8,0,2,0,0,0
10,2,5,3,247893,43189,26824,25822,4808,83908
10,0,5,4,0,0,0,0,0,0
10,0,5,5,0,0,0,0,0,0
11,1,0,0,163822,35503,12606,21031,3893,73270
11,1,0,1,7,0,3,0,0,0
11,1,0,2,14,2,12,1,0,1
11,0,0,3,0,0,0,0,0,0
11,2,0,4,8,4,8,0,0,0
11,2,0,5,11,0,9,0,0,0
11,1,1,0,21,4,12,0,0,3
11,1,1,1,6,0,4,0,0,0
11,1,1,2,12,7,12,3,0,1
11,0,1,3,0,0,0,0,0,0
11,2,1,4,7,0,8,0,0,0
11,2,1,5,8,7,9,0,0,1
11,3,2,0,17,4,12,0,0,2
11,1,2,1,13,0,7,0,0,0
11,0,2,2,0,0,0,0,0,0
11,4,2,3,12,4,11,2,0,1
11,4,2,4,7,0,3,0,0,0
11,4,2,5,10,1,9,0,0,0
11,3,3,0,10,3,11,0,0,1
11,3,3,1,8,0,7,0,0,0
11,4,3,2,18,6,11,2,0,3
11,4,3,3,287425,53833,31460,32198,6000,101437
11,4,3,4,13,3,11,2,0,1
11,4,3,5,9,1,10,0,0,0
11,3,4,0,9,0,6,0,0,0
11,3,4,1,811,165,69,96,14,345
